Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldDays;MaxHoldBars;BarsHeld
2025-09-20 19:00:00+02:00;3820,071044921875;2025-09-21 00:00:00+02:00;3827,110595703125;2889,170807671516;5,778341615343032;Time exit (5 bars);-11,102447993768948;14434,75159036381;Short;2;5;5
2025-09-21 01:00:00+02:00;3815,286865234375;2025-09-21 06:00:00+02:00;3808,52001953125;2886,950318072762;5,773900636145524;Time exit (5 bars);-0,6535655093172714;14434,098024854493;Short;2;5;5
2025-09-21 09:00:00+02:00;3813,423583984375;2025-09-21 14:00:00+02:00;3805,415283203125;2886,8196049708986;5,7736392099417975;Time exit (5 bars);0,2887661821340979;14434,386791036626;Short;2;5;5
2025-09-21 18:00:00+02:00;3807,707275390625;2025-09-21 19:00:00+02:00;3824,7435016710488;2886,8773582073254;5,7737547164146505;ATR stop;-18,69005640696583;14415,69673462966;Short;2;5;1
2025-09-21 22:00:00+02:00;3814,408203125;2025-09-22 03:00:00+02:00;3691,238037109375;2883,139346925932;5,766278693851864;Time exit (5 bars);87,33250179747415;14503,029236427135;Short;2;5;5
2025-09-22 17:00:00+02:00;3543,48388671875;2025-09-22 22:00:00+02:00;3548,007568359375;2900,605847285427;5,8012116945708545;Time exit (5 bars);-9,504182510166967;14493,525053916968;Short;2;5;5
2025-09-23 03:00:00+02:00;3529,727294921875;2025-09-23 08:00:00+02:00;3564,373275417325;2898,705010783394;5,797410021566788;ATR stop;-34,24960161442696;14459,275452302541;Short;2;5;5
2025-09-23 11:00:00+02:00;3554,54052734375;2025-09-23 16:00:00+02:00;3542,879638671875;2891,855090460508;5,783710180921016;Time exit (5 bars);3,703198184772761;14462,978650487314;Short;2;5;5
2025-09-23 19:00:00+02:00;3514,023681640625;2025-09-24 00:00:00+02:00;3539,86767578125;2892,595730097463;5,785191460194926;Time exit (5 bars);-27,058874813670105;14435,919775673643;Short;2;5;5
2025-09-24 01:00:00+02:00;3526,551513671875;2025-09-24 06:00:00+02:00;3509,140625;2887,1839551347284;5,774367910269457;Time exit (5 bars);8,479908036981513;14444,399683710624;Short;2;5;5
2025-09-24 15:00:00+02:00;3542,48974609375;2025-09-24 16:00:00+02:00;3572,8499283659758;2888,8799367421248;5,77775987348425;ATR stop;-30,536313243689488;14413,863370466936;Short;2;5;1
2025-09-24 17:00:00+02:00;3553,531005859375;2025-09-24 22:00:00+02:00;3551,554443359375;2882,772674093387;5,765545348186775;Time exit (5 bars);-4,162075347716151;14409,70129511922;Short;2;5;5
2025-09-25 12:00:00+02:00;3418,294921875;2025-09-25 17:00:00+02:00;3426,50537109375;2881,9402590238437;5,763880518047688;Time exit (5 bars);-12,68605215302394;14397,015242966196;Short;2;5;5
2025-09-25 18:00:00+02:00;3374,69482421875;2025-09-25 23:00:00+02:00;3353,222412109375;2879,403048593239;5,758806097186478;Time exit (5 bars);12,562177609154443;14409,57742057535;Short;2;5;5
2025-09-26 00:00:00+02:00;3337,70849609375;2025-09-26 05:00:00+02:00;3396,3720703125;2881,91548411507;5,76383096823014;Time exit (5 bars);-56,416385884997375;14353,161034690353;Short;2;5;5
2025-09-26 07:00:00+02:00;3361,24072265625;2025-09-26 12:00:00+02:00;3337,52783203125;2870,6322069380703;5,741264413876141;Time exit (5 bars);14,510479856891568;14367,671514547244;Short;2;5;5
2025-09-26 16:00:00+02:00;3361,096923828125;2025-09-26 19:00:00+02:00;3418,905423861665;2873,534302909449;5,747068605818898;ATR stop;-55,169834926083965;14312,50167962116;Short;2;5;3
2025-09-26 22:00:00+02:00;3429,01513671875;2025-09-27 03:00:00+02:00;3434,02197265625;2862,500335924232;5,725000671848464;Time exit (5 bars);-9,904646716434236;14302,597032904727;Short;2;5;5
2025-10-08 01:00:00+02:00;3819,41552734375;2025-10-08 06:00:00+02:00;3841,173583984375;2860,5194065809455;5,721038813161891;Time exit (5 bars);-22,01655387938465;14280,580479025342;Short;2;5;5
2025-10-08 07:00:00+02:00;3821,544189453125;2025-10-08 12:00:00+02:00;3870,0510859984624;2856,1160958050687;5,712232191610138;ATR stop;-41,96494081213122;14238,615538213211;Short;2;5;5
2025-10-08 14:00:00+02:00;3846,9013671875;2025-10-08 16:00:00+02:00;3883,069239417745;2847,7231076426424;5,695446215285285;ATR stop;-32,46922481612225;14206,146313397088;Short;2;5;2
2025-10-08 22:00:00+02:00;3875,58447265625;2025-10-09 03:00:00+02:00;3849,667236328125;2841,229262679418;5,682458525358836;Time exit (5 bars);13,317723455651521;14219,46403685274;Short;2;5;5
